year,month,day,spt,book,practice,stock,research,clean
2019,9,1,0,0,0,0,0,0
2019,9,2,0,0,0,0,0,0
2019,9,3,0,0,0,0,0,0
2019,9,4,0,0,0,0,0,0
2019,9,5,0,0,0,0,0,0
2019,9,6,0,0,0,0,0,0
2019,9,7,0,0,0,0,0,0
2019,9,8,0,0,0,0,0,0
2019,9,9,0,0,0,0,0,0
2019,9,10,0,0,0,0,0,0
2019,9,11,0,0,0,0,0,0
2019,9,12,0,0,0,0,0,0
2019,9,13,0,0,0,0,0,0
2019,9,14,0,0,0,0,0,0
2019,9,15,0,0,0,0,0,0
2019,9,16,0,0,0,0,0,0
2019,9,17,0,0,0,0,0,0
2019,9,18,0,0,0,0,0,0
2019,9,19,0,0,0,0,0,0
2019,9,20,0,0,0,0,0,0
2019,9,21,0,0,0,0,0,0
2019,9,22,0,0,0,0,0,0
2019,9,23,0,0,0,0,0,0
2019,9,24,0,0,0,0,0,0
2019,9,25,0,0,0,0,0,0
2019,9,26,0,0,0,0,0,0
2019,9,27,1,0,0,0,0,0
